product_name,brand,size,category,image_filename,image_url,source_page,confidence
Barilla Spaghetti,Barilla,16 oz (1 lb / 454 g),Pasta,barilla_spaghetti_16oz.png,https://img06.weeecdn.com/product/image/081/465/238496B9841280F8.png,https://www.sayweee.com/en/product/Barilla-Spaghetti-Pasta/47727,Exact
Goya Black Beans,Goya,15.5 oz (439 g),Canned Goods,goya_black_beans_15_5oz.jpeg,https://img06.weeecdn.com/product/image/930/791/231882A606AE6AD6.jpeg,https://www.sayweee.com/en/product/Goya-Black-Beans/108711,Exact
SPAM Classic,SPAM,12 oz (340 g),Canned Meat,spam_classic_12oz.png,https://img06.weeecdn.com/product/image/740/101/2339EA11A5A6CBA9.png,https://www.sayweee.com/product/Hormel-Classic-Spam/55189/,Exact
Kellogg's Froot Loops,Kellogg's,180 g,Cereal,kelloggs_froot_loops_180g.jpeg,https://img06.weeecdn.com/product/image/404/192/4B5764EEDF426805.jpeg,https://www.sayweee.com/en/product/Kellogg-s-Froot-Loops/110508/,"Exact package, Mexican-market label"
French's Classic Yellow Mustard,French's,14 oz (396 g),Condiments,frenchs_classic_yellow_mustard_14oz.jpg,https://img06.weeecdn.com/item/image/935/413/671BCBD6DD6628E8.jpg,https://www.sayweee.com/en/product/French-s-Classic-Yellow-Mustard/84826,Exact
Ocean Spray Original Cranberry Juice Cocktail,Ocean Spray,64 fl oz (1.89 L),Juice,ocean_spray_cranberry_juice_64oz.jpg,https://img08.weeecdn.net/item/image/888/557/7D11AD8E349FF33A.jpg,https://www.sayweee.com/en/product/Ocean-Spray-Cranberry-Juice-Cocktail/48150,Exact
Nature Valley Crunchy Granola Bars Variety Pack,Nature Valley,24 bars / 506 g,Snack Bars,nature_valley_crunchy_variety_24bars.png,https://img08.weeecdn.net/item/image/278/998/6F74E2DB1A6CE45D.png,https://www.sayweee.com/en/product/Nature-Valley-Crunchy-Granola-Bars-Variety-Pack--24-ct/88926,Exact
Ortega Yellow Corn Taco Shells,Ortega,12 shells / 4.9 oz (140 g),Mexican Food,ortega_yellow_corn_taco_shells_12ct.png,https://img06.weeecdn.com/product/image/147/311/7C467D0BB8DA7340.png,https://www.sayweee.com/en/product/Ortega-Yellow-Corn-Taco-Shells/102146/,Exact
